PID,Social Media Post,Normalized Claim
11,if you have migraines just put a little bit under your tongue within minutes you will feel your migraine easing up,if you have migraines just put a little bit under your tongue within minutes you will feel your migraine easing up
12,there is a possibility that these common adverse reactions that are not dangerous in fitter younger patients and are not unusual with vaccines may aggravate underlying disease in the elderly,people in norway died after getting the pfizer covid vaccine
13,in honor of taxday i remind you that governor evers wanted to increase your taxes by billion just for heating your homes instead republicans cut your taxes by more than billion we want to keep more money in your pockets,says gov tony evers wanted to increase your taxes by billion just for heating your homes instead republicans cut your taxes by more than billion
14,bengali actor aindrila sharma passed away at the age of in a private hospital in howrah today after suffering multiple cardiac arrests last night another effect of covid vaccine young people getting heart attacks slowly people are dying due to vaccine covidbooster,bengali actor aindrila sharma die of the covid vaccine
15,our study found that engaging in h of mental work similar to that found in an office environment with min breaks every min can negatively impact cognitive efficiency suppress brain neural network activity and cause mental fatigue these effects do not fully recover after a h rest,a study shows short breaks during a working day cause mental exhaustion that affects a persons focus as well as attention learning and visual recognition
16,staywoke conspiracytheory moonlanding space wakeup,buzz aldrin admitted the moon landings were faked in an interview
17,thrilled that usfda has granted fast track designation for our mrnabased combo vaccine candidate for influenza and covid expediting the review time so we hopefully can bring this potential,pfizer ceo albert bourla resigned saying mrna vaccines are not safe
18,two terrorists caught by police with courage and intelligence at dahod railway station some people and employees of the railway administration were held hostage at gunpoint by the terrorists,two terrorists caught by police with courage and intelligence at dahod railway station some people and employees of the railway administration were held hostage at gunpoint by the terrorists
19,working hard on the biggest tax cut in us history great support from so many sides big winners will be the middle class business jobs,says the gop plan he supports is the biggest tax cut in us history
20,flu season is coming up many people every year sometimes over and despite the vaccine die from the flu are we going to close down our country no we have learned to live with it just like we are learning to live with covid in most populations far less lethal,sometimes people or more die from the seasonal flu
21,bank strike announced on th th september th september is th saturday th is sunday th half yearly closing oct gandhi jayanthi holiday plan accordingly,banks are closed continuously from th september to th september
22,fraud annamalaik,modi inaugurated the first phase of the ahmedabad metro project which was already inaugurated in
23,the facts do not lie the letter you signed was obviously drafted by railroad industry lobbyists it supports waivers that would reduce visual track inspections now will you vote to help us toughen rail safety accountability and fines or not,the letter marco rubio signed was obviously drafted by railroad industry lobbyists it supports waivers that would reduce visual track inspections
24,new variant b is named as omicron stay at home from a doctors group rsa the virus is back this time with more energy tactics and camouflage we do not cough no fever it is joint pain weakness loss of appetite and covid pneumonia of course the death rate is higher it takes less time to get to the extreme sometimes no symptoms let us be careful the strain is not domiciled in our nasopharyngeal region it directly affects the lungs which means window periods are shortened i have seen a number of patients without fever but an xray report shows moderate chest pneumonia the nasal swab is often negative for covid there are more and more false pharyngeal nasal tests covid which means that the virus spreads directly to the lungs causing acute respiratory distress due to viral pneumonia this explains why it has become acute and more fatal be careful avoid crowded places wear a face mask wash your hands often wave more deadly than the first so we have to be very careful and take every precaution please become an alert communicator among friends and family do not keep this information to yourself share it with your family and friends please take care and stay safe,the omicron variant cannot be detected by pcr test
25,the unhcr is present in the region and they are the right mechanism by which people should apply if they do want to seek asylum in the united kingdom,people fleeing sudan for humanitarian reasons should apply through the unhcr if they want to seek asylum in the uk
26,psa this is hypercapnia it can be caused by rebreathing your own exhaled co by wearing a mask continuously,wearing a mask can cause hypercapnia by making you breathe in too much carbon dioxide
27,all the worlds a stage,a police car destroyed during protests in bristol is a prop vehicle as the mot has expired
28,a study found that hours of silence per day promotes cell development in the hippocampus region of the brain where memories are found,fact check can remaining silent for a few hours per day promote cell growth in the human brain
29,how can harris be the st black woman to run for vp or person of color meet charlotta bass,charlotta bass was the first black woman to run for vice president
30,govevers liquor stores are open strip malls can have customers but dentists are nonessential vickimckenna empowerwi wiright,says gov tony evers administration deemed dentists nonessential
31,pilot pissing in the cockpit of paf f said urine increases efficiency of jets told by allah in his dream,pilot pissing in the cockpit of paf f said urine increases efficiency of jets told by allah in his dream
32,it is an herbal combination that helps to strengthen your gums and completely eliminate all of the stains from your teeth,herbal teeth whitening foams strengthen gums
33,it is interesting to see the memorandum of the british government through which mr gandhi became mahatma gandhi officially,it is interesting to see the memorandum of the british government through which mr gandhi became mahatma gandhi officially
34,the lady holding the bible in her hand is none other than the wife of subba reddy chairman of the world richest hindu temple tirupati dear hindus wake up before it is too late,the lady holding the bible in her hand is none other than the wife of subba reddy chairman of the world richest hindu temple tirupati dear hindus wake up before it is too late
35,weve bought the moderna which protects you against both covid and flu which is a good thing so get that booster in place this isn,the moderna booster vaccine protects you against both covid and flu
36,updated uk government assessment for pfizer covid vaccine,uk has revoked covid vaccine for pregnant women
37,the benefit of the vaccine in no way outweigh the risks denmark suspends covid vax program after study of million people raises health alarms,denmark paused the covid vaccination program due to increased risk of myocarditis
38,so you are going to receive a text message on your phone if you do not reply to that text message basically the use of your phone is going to be limited so they are going to put your phone off for the day,mobile phone networks are in breach of gdpr by providing your phone number to another agency to allow emergency alerts
39,landslide victory in gujarat scene from one of the strong rooms in that state bhavnagar constituency,landslide victory in gujarat scene from one of the strong rooms in that state bhavnagar constituency
40,this is the guy who added his infected blood to pepsi for the next few weeks do not drink any products from pepsi as a worker from the company has added his blood contaminated with hivaids brothers and sisters please this message to the people who u care,man shown in the picture has added his hivinfected blood to pepsi do not consume pepsi for the next few weeks
41,the chinese balloon has been shot down after biden called the chinese president and asked for his permission to shoot it down,biden asked china for permission to shoot down spy balloon
42,unsurprisingly the only two regimes to ever regulated stargazing have been the inquisition and nygovcuomo,state forces citizens to pay for stargazing permit to view night sky in public parks
43,this is a rohingya family destitute on a road in delhi together with children wives out of which are also pregnant in hand is samsung c pro mobile which costs only rs the opposition is sad to see their condition so keep paying taxes on time,this is a rohingya family destitute on a road in delhi together with children wives out of which are also pregnant in hand is samsung c pro mobile which costs only rs the opposition is sad to see their condition
44,planned by then cm modi inaugurated by pm modi jamnagarjunagarh highway bridge collapsed within months of inauguration,the collapsed jamnagarjunagarh highway bridge was inaugurated by pm modi three months ago
45,anything is possible with yogiraj got a job for those who smoke ganja salary more than lakhs,anything is possible with yogiraj
46,japans dressing room after costa rica match,japans dressing room after the costa rica match
47,had this floating around my family whatsapp threads looks like spam getting trough family panic and antichina paranoia about coronavirus is proving hard enough as it is,coronavirus stays on fabric for hours so washing clothes or being exposed to the sun for two hours meets the purpose of killing it
48,the plane of indonesia passengers has a narrow escape,indonesia
49,if you are experiencing pregnancy complications and your doctor tells you that abortion is necessary find a new doctor you and your baby deserve better abortion is never medically necessary to save the life of the mother,abortions are never medically necessary
50,amul th anniversary click to enter to participate in the survey have a chance to win rupee,amul th anniversary click to enter to participate in the survey have a chance to win rupee
51,another in a series of lies spread by modi modi,pm narendra modi credited first metro service in the country to atal bihari vajpayee
52,peak active cases vaccinated peak active cases vaccinated i hate to break this to you but this not a pandemic of the unvaccinated,peak active cases of covid for vs show this is not a pandemic of the unvaccinated
53,were going to celebrate our grand opening by doing something special for you we will be rewarding someone who has shared then commented by february th with a night stay for people in a all inclusive hotel dont worry about flights and transfers it is all included you will have years to use the holiday,people who share then comment on a facebook post will be given the chance to win a holiday
54,bjp has won elections in gujarat and himachal pradesh through evm hacking ts krishnamurthy preelection commissioner,bjp has won elections in gujarat and himachal pradesh through evm hacking ts krishnamurthy preelection commissioner
55,aussie with the real talk,in australia a increase in heart attack deaths in the first eight months of is linked to covid vaccination
56,did you know natural cures dandelion root is able to kill of cancer cells within hours not only that but it acts as a powerful anti inflammatory immune booster antioxidant and organ detoxifier,dandelion root is able to kill of cancer cells within hours
57,atheist in in indian context is only a hindu non believer of his own hereditary faith but owing allegiance to other faiths that too to christianity pl be informed of this clarification,pictures of south indian actor turned politician prakash raj have gone viral with a claim that he has become a christian we found that the pictures were real but not from the same context that is shared in social media messages
58,not sure if he is prophesying or planning has anyone read the chapter that this passage belongs to,thousands in spain israel and portugal have taken to the streets in protest against the effects of world economic forum globalism
59,hold off on the voting does not work doomers voting did not work previously now we are onto their schemes i am going until the next election for president i expect this one to be a haggard mess if it does not get sorted out and accountability applied by the next one i will join you in your misery,joe biden announced to the world tonight that they are going to cheat by dumping ballots
60,i think this study is very likely to be correct i would see no reason to doubt it more importantly it is exactly what any immunologist would expect to be true,research from israel suggests that the pfizer vaccine is much less protective against covid than natural immunity from catching the disease
61,hello my name is kane stewart i was born here in leyland june looking for my birth mother or father mothers name is cathy m evans and she was only at time of my birth thats all info i have please help me reunite with my family by sharing,a facebook user is searching for their birth mother or father
62,really bad news the baltimore house of elijah cummings was robbed too bad,elijah cummings house was broken into after trump publicly attacked him on twitter
63,mins long but well worth a watch and just what we need great work from this fella reporting a criminal offence committed by someone in public office,the vaccines contain polysorbate and that is known to cause fertility issues
64,this is great can post this to people that argue with me now would be great if we can find the original link though,a poster from the mhra makes various claims about the vaccines and importance of yellow card reports
65,from th june saturday last week till august this year it will be colder than previous years they call it aphelion phenomenon starting from tomorrow we will experience the aphelion phenomenon where the earth will be very far from the sun we cannot see the phenomenon but we can feel its impact this will last until august we will experience cold weather which will have an impact on flu cough shortness of breath etctherefore let us all increase immunity by drinking lots of vitamins or supplement so that our immunity will be strongthe distance from earth to sun is light minutes of km the phenomenon of aphelion to km farther protect your body from cold wear warm cloths drink vitamins supplements to boost your immunity,several social media posts claim the aphelion phenomenon will increase earths temperature till august we factchecked and found the claim to be false the aphelion phenomenon affects the duration of weather not the intensity
66,officers have been subjected to considerable levels of abuse and violence one suffered a broken arm and another suffered broken ribs both have been taken to hospital,police officers suffered broken bones at a bristol protest
67,one in a hundred children will actually get sick enough with covid to be admitted to hospital,one in children who catch covid get sick enough with the disease to be admitted to hospital
68,gosh okay i pete buttigieg politician do henceforth and forthwith declare most affirmatively and indubitably unto the ages that i do favor medicare for all as i do favor any measure that would help get all americans covered now if you will excuse me potholes await,says that amazon is literally paying zero in taxes
69,re usps usps has been losing billions for straight years usps services have been adjusting to covid usps has enough liquidity to operate through mid the problem with mailin voting right now is that state election standards do not match usps practices,says ben shapiro tweeted the usps is not only a bloated and outdate government agency it is also ineffective and incompetent its been months since my wife went on a hawaii vacation with her personal trainer she said she would send me postcards every day and so far none of them have arrived
70,antipoison there are many snakes with a very poisonous venom that kills within some hours if your a victim of snakes bites or poison just look for a cashew tree use your cutlass to get the bark of the cashew tree and chew the bark of the tree as you chew swallow the water do not swallow the chaff it will neutralize every poisonous substance from the snake even if it is an anaconda bite very effective and powerful to destroy snake venoms you can keep the bark for any emergency even if it is a dry one just soak it in water it does not spoil it can be kept for years god has blessed us with so many herbs but many do not know it,eating cashew nut tree bark neutralize snake venom
71,an ultimate solution to typhoid and a blood booster sometimes because you do not pay for these remedies or because i am not a medical doctoryou do not value the informationsome great informations does not cost you a penny and it saves lifes this is coconut peel for typhoid or to boost your blood dry it very well with sun and cook it with a pinch of potashdrink a cup morning and night check yourself withing two weeks and see how typhoid will fly away the professor typhoid chronicdisease bloodbooster,coconut choir infused water can cure typhoid
72,there is a growing concern that a sarscov related inflammatory syndrome is emerging in children in the uk,the nhs has issued a letter saying that some children infected with coronavirus have been exhibiting symptoms similar to toxic shock syndrome
73,thanks joe,joe biden said we cannot win this reelection we can only reelect donald trump
74,tree carving north kashmir dogripora,tree carved in shape of hand is located in kashmir
75,of covid deaths in canada now due to mrna vaccine new data shows coronavirus covid wuhan china disease canada death data science health facts ccp,of covid deaths in canada now due to mrna vaccine
76,georgia voter id days of early voting colorado voter id days of early voting atlanta is black denver is black the mlb is moving the mlballstargame out of atl which has more dayof voting rights than co the wokes are at it again folks,georgia has more dayof voting rights than co
77,according to the writings of the soulless dehumanised future the wef have planned we will not need animal charities because we will cease to have pets and eat meat we will become more android in our needs i think animals are very important very special and very much appreciated as companions these soulless god players are abundant in their greed and need for power they do not want family life to exist so they fake concerns for minority groups who think they are being liberated yet their liberation draws them closer to the need for government handouts and control like moths to a flame they are drawn in the breakdown of the family unit is as essential as the breakup of nation states for their plans to come to fruition meanwhile nations like russia and china concentrate on nothing but the nation state making them stronger through trade and military capabilities our politicians are either culpable in our demise or too dumb to see it,according to the future the world economic forum has planned we will not need animal charities because we will cease to have pets and eat meat
78,guys if you want a gb free data on your mobile number please give a missed call on from your mobile number also chance to win iphone x on lucky draw offer valid till tonight dont miss the chance hurry up india,support number for free netflix data and sex chat to promote bjps caa
79,the facts are there are no new dentists no new contract and no new money,there are now more nhs dentists across the uk
80,something bad just went down near morgantown wv a moderna shipment truck crashed hazmat dispatched airspace shut down and now apparently emergency response is claiming the department of defense took it over,near morgantown wv a moderna shipment truck crashed hazmat dispatched airspace shut down and now apparently emergency response is claiming the department of defense took it over
81,in walt disney created mickey mouse nobody could have predicted the impact mickey would have nearly a century later he is still the walt disney companys dominant figure and the face of disney however in figment will take over as the official disney mascot from mickey mouse the decision to remove mickey mouse as disneys official mascot was motivated primarily by legal concerns mickey mouses copyright protection is set to expire in january this means that mickey mouse will be in the public domain and anyone will be able to use him disneys famous mouse will no longer have the same level of legal protection via mousetrapnews,the claim mickey mouse will be replaced as the official disney mascot
82,the effects seen in observational studies of mask wearing will be confounded by other protective behaviours not accounted for during adjustment,maskwearing cuts covid incidence by says global study
83,the respect aap has eared in months great insult,seems to have earned good respect in months
84,covid came from snake venom,covid originated from snake venom
85,turmeric and lemon are two simple cheap and handy things you can use regularly to fight coronavirus homemade rasam is also very useful,turmeric and lemon help fight against coronavirus
86,under no circumstance should our disinfectant products be administered into the human body through injection ingestion or any other route,dettol antiseptic spray says it kills human coronavirus
87,wow report just out google manipulated from million to million votes for hillary clinton in election this was put out by a clinton supporter not a trump supporter google should be sued my victory was even bigger than thought judicialwatch,wow report just out google manipulated from million to million votes for hillary clinton in election
88,argos is selling electric scooters at a special price this week get in on the action all that is left to do is pay for shipping find out or you are in luck,argos is offering electric scooters and air fryers for in a timelimited deal
89,this is what the leader of our country just said about the fing energy crisis,boris johnson suggested buying a new kettle to save a year on energy bills
90,no need of angioplasty or bypass natural therapy for opening the veins of heart lemon juice cup ginger juice cup garlic juice cup apple vinegar cup dallyllealtmgen mix all above and boil in light flame when if become three cupstake it off and cool down now mix it with cups of natural honey and keep it in a clean bottle how to take take one tablespoon of this juice daily before breakfast your blockage from veins will disappears slowly,home remedies can replace angioplasty or bypass surgery
91,public health warning issued for fluoride toothpaste avoid these brands at all costs link below,a public health warning was recently issued for fluoride toothpaste
92,news post,president donald trump nominated himself to the supreme court
93,less than people have died directly from corona virus in ireland it is not a pandemic if it was that bad do you think leo would be in the pheonix park with friends this is a scam,fewer than people have died directly from covid in ireland
94,people need to understand that a tumour is there to save your life when your body is full of poison toxaemic and acidosis and you are basically going to die of that poison your body builds a bag and collects all of that poison from your body in this bag which they call a tumour,a tumour is a bag that collects poison from your body a needle biopsy explodes the tumour and pours poison into the body giving you cancer
95,so they want us to believe that the same states that republican senators won are too close to call for the republican president fraud,the election is fraudulent because states that won republican senate seats cannot yet be called for a republican president
96,i want you to truly understand that currently there is a false positive rate because what the pcr is looking for is something that nobody knows,pcr tests for covid have a false positive rate
97,rest in peace mino,italian football agent mino raiola has died after suffering from an illness
98,you science is politics all the rcts show no or essentially no effect for cloth or surgical masks and an understanding of aerosols shows why the vaccines are poor and unnecessary for most people as they have low risks andor natural immunity ventilation works,masks are ineffective and vaccines unnecessary for most of the people
99,us health and human services director xavier becerra said covid vaccines are killing people of color at twice the rate of white people,after the us health and human services director xavier becerra claimed that covid vaccines are killing people of colour several social media users have shared an article that covered the news we factchecked and found the claim to be false
100,mukhtar abbas naqvi changed his religion,mukhtar abbas naqvi changed his religion
101,an angry ranbir kapoor throws fans phone as he tries to click selfie watch tnshorts,an angry ranbir kapoor throws fans phone as he tries to click selfie watch
102,these cucks actually think we are going to let them do this they just united the population of three seperate countries to stand together against them,the claim president joe biden signed away us sovereignty
103,get periods in days with these home remedies,you can induce menstrual periods early with home remedies
104,did you know while brushing in the morning brush your teeth with the help of that hand which you do not use for writing doing this will wake you up and make you feel refreshed much faster than usual,according to an instagram post brushing teeth with a nondominant hand may improve brain function we verified that the claim overestimates the benefits of brushing with the nonwriting hand since brushing with the nondominant hand would compromise oral hygiene thus our findings suggest that the assertion is mostly false
105,there is no plausible mechanism by which any vaccine ingredient could pass to your baby through breast milk,vaccines are incompatible with human life and being vaccinated while pregnant or breastfeeding may be unsafe
106,fauci is now saying that had trump listened to the medical experts earlier he could have saved more lives fauci was telling people on february th that there was nothing to worry about and it posed no threat to the us public at large time to firefauci,says of covid that dr anthony fauci was telling people on february th that there was nothing to worry about and it posed no threat to the us public at large
107,so sad a newborn found in swansea dumpster this morning at am we will keep you posted when we know more currently baby is alive but is critical pray for this newborn as the doctors work to save his life investigators are searching for the parents of the baby contact the authorities if you have any information regarding this sic,a newborn baby boy has been found in a swansea dumpster in february
108,liz truss does not like this response from her dad please do not retweet copy or like,liz trusss father has tweeted saying she could not tie her shoelaces until she was and asking her to turn against fascism
109,double l mc out on the streets sharing his findings well worth watching double l mc has broken down and made the connections for you to see as clear as possible his podcasts rise above on youtube are enlightening to those who still need more information about what is going on in the world right now and worth checking out its up to you to expand your knowledge or to at least look at things from a different angle when your future is on the line humans can and do change when faced with precipitous decisions respect and thanks to my good friend clarkie for sharing,the pirbright institute has the main patent for coronavirus which was granted by serco
110,huge procession in support of cab in maharashtra and himachal pradesh which media people will not show you,images of people in himachal pradesh and maharashtra rallying in support of the citizenship amendment bill cab
111,the united states was supposed to be in syria for days that was many years ago we stayed and got deeper and deeper into battle with no aim in sight when i arrived in washington isis was running rampant in the area we quickly defeated of the isis caliphate,says thousands of captured isis fighters are mostly from europe
112,those abused girls in rotherham and elsewhere just need to shut their mouths for the good of diversity,those abused girls in rotherham and elsewhere just need to shut their mouths for the good of diversity
113,myelderly sic cousin who is years old lives alone in london sic borough of enfield he has two bedrooms and receives a discount for a single persons sic allowance he has received a call from enfield borough council asking him to take in a ukrainian family he has said he does not want to they have said do you realise we can force you to do it he said if you force me to share my i would rather burn it down sic he has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly they said if you do not like what we are saying as he expressed his views they said we can take your allowance away from you,an elderly man was told by enfield council that his single occupier council tax discount could be removed if he did not house a ukrainian family in his spare room
114,there is a supreme court order for those who take care of stray dogs in the cases of stray dogs roaming on the road and biting people the supreme court said only those who feed stray dogs should get them vaccinated and also bear the cost of treatment if someone bites them,supreme court made an order on animal feeders liable for stray dog bites
115,these days nothing better for imran khan to take break from noisy politics and spend time with his lovely sons they in lahore to give a long over due hug to their dad i wish that remarkable character khans exwife jemimakhan had came along qasim sulaiman to lahore,these days nothing better for imran khan to take break from noisy politics and spend time with his lovely sons they in lahore to give a long over due hug to their dad i wish that remarkable character khans exwife jemimakhan had came along qasim sulaiman to lahore
116,antipoison there are many snakes with a very poisonous venom that kills within some hours if your a victim of snakes bites or poison just look for a cashew tree use your cutlass to get the bark of the cashew tree and chew the bark of the tree as you chew swallow the water do not swallow the chaff it will neutralize every poisonous substance from the snake even if it is an anaconda bite very effective and powerful to destroy snake venoms you can keep the bark for any emergency even if it is a dry one just soak it in water it does not spoil it can be kept for years god has blessed us with so many herbs but many do not know it,eating cashew nut tree bark neutralize snake venom
117,turn it off people they are taking control of your exactly sic location,the emergency alert allows the government to take control of your exact location
118,this would not be possible if not for the strong support given the state by flyairpeace and overlandairways who fly daily to and from lagos and abuja respectively we continue to appreciate your support in our drive to developondo,airpeace and overland fly daily into akure airport to and from lagos and abuja respectively
119,forwarded as received the government is proposing a bill by which if the bank is having financial difficulties then they can ask depositors to take a hit the finance ministry have got a bill approved by the cabinet called the financial resolution and deposit insurance frdi bill,preparation to table frdi bill in parliament
120,deadly amboli ghat falls,deadly amboli ghat falls
121,kentucky fried chicken lost its case after years of trying to claim it was chicken the company was found guilty of only of it being chicken and the remaining not good for human consumption only for dogs the islamic judicial council withdrew its guarantee certificate as it was also found that the spice,us court said kfc is unfit for humans
122,report dominion deleted million trump votes nationwide data analysis finds pennsylvania votes switched from president trump to biden trump votes deleted states using dominion voting systems switched votes from trump to biden,dominion voting systems deleted votes for donald trump switched votes to joe biden
123,i have a buddy in france and they just had an election there polls closed a few hours ago and they already know who the winners are must be nice to live in a first world country,in france polls closed a few hours ago and they already know who the winners are
124,shahrukh khan is supporting owaisi hindus must come together,shahrukh khan wore owasis partys t shirt
125,the economy under this conservative government has grown by,in january the economy had grown by under the conservative government
126,if our government falls i will set the nation on fire yogi adityanath,yogi adityanath threatens to set the nation on fire if his govt is voted out
127,marvel at the huge ancient skeletons found,marvel at the huge ancient skeletons found
128,black worms in masks and covid swabs i think they are nanoparticals or nanobots but be interesting to find out what they are and do experiments on them like using magnets or something,fibres from face masks and test swabs are evidence of parasites
129,dr judy mikovits may the world start listening to these brave and courageous doctors,the spike proteins generated by the body in response to the covid vaccines make people a ticking time bomb for cancer blood clots and other ailments
130,study of countries finds sharp rise in virus transmission and death after introduction of covid vaccines,data from countries shows that deployment of covid vaccines causes an increase in covid cases and deaths
131,just digest this for a moment a minority of only have achieved all this in only a few yearsplanned from the start you do the projections,there are four million muslims out of the million in the population which amounts to of the population
132,important announcement coronavirus from someone who is graduated with a masters degree and who worked in shenzhen hospital guangdong province china the following notes on coronavirus for guidance if you have a runny nose and sputum you have a common cold coronavirus pneumonia is a dry cough with no runny nose this new virus is not heatresistant and will be killed by a temperature of just degrees it hates the sun if someone sneezes with it it takes about feet before it drops to the ground and is no longer airborne if it drops on a metal surface it will live for at least hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap on fabric it can survive for hours normal laundry detergent will kill it drinking warm water is effective for all viruses try not to drink liquids with ice wash your hands frequently as the virus can only live on your hands for minutes but a lot can happen during that time you can rub your eyes pick your nose unwittingly and so on you should also gargle as a prevention a simple solution of salt in warm water will suffice cant emphasise enough drink plenty of water the symptoms it will first infect the throat so you will have a sore throat lasting days the virus then blends into a nasal fluid that enters the trachea and then the lungs causing pneumonia this takes about days further with the pneumonia comes high fever and difficulty in breathing the nasal congestion is not like the normal kind you feel like you are drowning its imperative you then seek immediate attention spread the word please share,the new virus is not heatresistant and will be killed by a temperature of degrees it hates the sun
133,first the health secretary says do not go to hospitals or clinics now the tourism secretary says do not recreate what next the education governor saying no school this fall,says the state health secretary says do not go to hospitals or clinics now the tourism secretary says do not recreate
134,look at the french they are going on general strike because retirement is going to their energy bills are of ours they retire years earlier their pension is x higher their wages are higher yet still they will strike why are they better off because they strike,french workers retire years earlier
135,you forgot one thing citizentvkenya uses one language at a time so you should not have typed the headline in english and the descriptions in swahili,screengrab showing the uda party candidate in kiambaa constituency conceding defeat
136,he has all the necessary scientific backup to support his claims,the covid virus is not spread asymptomatically only sick people give it to other people
137,heres a cheery friday fact an average yearold male today has roughly the same testosterone levels as a year old had in the year average testosterone has fallen close to in the last decades and nobody is talking about it,testosterone levels dropped by in recent decades
138,monkeypox is vaccine aquired sic shingles covered up change my mind,monkeypox is vaccine acquired shingles
139,in a burnol movement australian high commissioner meets rssorg chief dr mohan bhagwat and acknowledges the organisation,australian high commissioner meets rssorg chief dr mohan bhagwat and acknowledges the organisations work in covid relief
140,us health and human services director xavier becerra said covid vaccines are killing people of color at twice the rate of white people,the covid vaccine is killing more people of colour than white people
141,trump stealing money from military families to pay for his border wall is nothing short of abhorrent,democrats target republicans donald trump on military money used for wall a rundown of projects
142,edit jan they are no longer taking calls now there is a prop lead is on this list warning on their boxes for the lead a dough hook had ppm kitchen aid recall not a joke attention anyone who has a kitchenaid mixer with a white paddle and hook attachments stop using it immediately it contains extreme amounts of lead the stainless steel is ok you can call the kitchen aid number and they will replace it with a metal ones for free or i did it it was super easy give them the code on your mixer and they replace them the calls takes less then minutes,kitchenaid is recalling a stand mixer because of extreme amounts of lead
143,the oldest woman on earth from pakistan celebrate her th years birthday today to god be the glory,the oldest woman on earth from pakistan celebrate her th years birthday today to god be the glory
144,buffalo protester shoved by police could be an antifa provocateur year old martin gugino was pushed away after appearing to scan police communications in order to black out the equipment oann i watched he fell harder than was pushed was aiming scanner could be a set up,buffalo protester shoved by police could be an antifa provocateur year old martin gugino was pushed away after appearing to scan police communications in order to black out the equipment was aiming scanner could be a set up
